[ 남양주진건지구S-1BL공동주택건설공사 ],,,,,,,,,,,,,,,,
품      명,규      격,단위,내     역     서,,,,,,,,,비  고,,,,
근로자화장실,"포세식A형,30개월",식,6,"1,595,000","9,570,000",-,-,-,-,"1,595,000","9,570,000",,,,,
근로자화장실,"포세식B형,30개월",식,2,"2,255,000","4,510,000",-,-,-,-,"2,255,000","4,510,000",,,,,
시험실설치비,(1년6개월),m2,120,"89,101","10,692,120",-,-,-,-,"89,101","10,692,120",,,,,
감독관사무실 주변 환경조성비,다급,식,1,"907,773","907,773",-,-,-,-,"907,773","907,773",,,,,
체력단련실,"다급,18개월,70m2",식,1,"6,474,677","6,474,677",-,-,-,-,"6,474,677","6,474,677",,,,,
현장사무소비품,"(다급,1500세대이상-5000세대미만,30개월)",식,1,"9,816,072","9,816,072",-,-,-,-,"9,816,072","9,816,072",,,,,
홍보용마크,대형천막지,개소,-,"1,247,030",-,-,-,-,-,"1,247,030",-,,,,,
LED전광판 1단 10열 3색칼라,,개소,-,"1,170,557",-,-,-,-,-,"1,170,557",-,,,,,
[ 합           계 ],,,,,"468,198,349",,"30,625,000",,"1,722,552,573",,"2,221,375,922",,,,,
010102  품질시험비,,,,,,,,,,,,,,,,
평판재하시험,,회,20,-,-,-,-,"291,500","5,830,000","291,500","5,830,000",,,,,
골재(부순골재포함)시험(알칼리잠재반응),,조,1,-,-,-,-,"336,600","336,600","336,600","336,600",,,,,
수팽창지수제,,조,1,-,-,-,-,"36,300","36,300","36,300","36,300",,,,,
골재(부순골재포함)시험(잔골재),,조,1,-,-,-,-,"92,648","92,648","92,648","92,648",,,,,
콘크리트시험(압축강도),,조,574,-,-,-,-,111,"63,714",111,"63,714",,,,,
콘크리트시험(슬럼프),,조,88,-,-,-,-,1,88,1,88,,,,,
콘크리트시험(공기량),,조,88,-,-,-,-,27,"2,376",27,"2,376",,,,,
콘크리트시험(씻기분석),,조,4,-,-,-,-,667,"2,668",667,"2,668",,,,,
콘크리트시험(염화물함유량),,조,88,-,-,-,-,430,"37,840",430,"37,840",,,,,
콘크리트시험(공시체제작),,조,574,-,-,-,-,541,"310,534",541,"310,534",,,,,
경량기포콘크리트시험비(압축강도7일),,조,14,-,-,-,-,"14,300","200,200","14,300","200,200",,,,,
경량기포콘크리트시험비(압축강도28일),,조,14,-,-,-,-,"14,300","200,200","14,300","200,200",,,,,
경량기포콘크리트시험비(경화전시험),,조,14,-,-,-,-,19,266,19,266,,,,,
간격재철근폭고정겸용,,조,1,-,-,-,-,"14,300","14,300","14,300","14,300",,,,,
"간격재수평철근하부용, PVC",,조,1,-,-,-,-,"34,100","34,100","34,100","34,100",,,,,
철근시험(공장가공시) - D22미만,,조,1,-,-,-,-,"67,100","67,100","67,100","67,100",,,,,
철근시험(공장가공시) - D22이상,,조,1,-,-,-,-,"86,900","86,900","86,900","86,900",,,,,
철근트러스철판공법(주철근),,조,1,-,-,-,-,"36,300","36,300","36,300","36,300",,,,,
철근트러스철판공법(철선),,조,1,-,-,-,-,"12,100","12,100","12,100","12,100",,,,,
철근트러스철판공법(철판),,조,1,-,-,-,-,"51,700","51,700","51,700","51,700",,,,,
PHC파일 용접부시험,,조,19,-,-,-,-,"27,000","513,000","27,000","513,000",,,,,
말뚝정재하(상재하중),,본,1,-,-,-,-,"3,850,000","3,850,000","3,850,000","3,850,000",,,,,
말뚝재하시험(동재하-초기항타),,본,5,-,-,-,-,"561,000","2,805,000","561,000","2,805,000",,,,,
말뚝재하시험(동재하-재항타),,본,7,-,-,-,-,"561,000","3,927,000","561,000","3,927,000",,,,,
"온돌마감모르타르(플로우,압축강도)",,조,1,-,-,-,-,"1,714","1,714","1,714","1,714",,,,,
강재용접부의 내부결함(초음파탐상시험),,조,1,-,-,-,-,"33,000","33,000","33,000","33,000",,,,,
"골재시험(미장,조적용 모래)",,조,1,-,-,-,-,"70,633","70,633","70,633","70,633",,,,,
시멘트액체방수제,,조,1,-,-,-,-,"260,700","260,700","260,700","260,700",,,,,
방수시험(도막방수용프라이머),,조,1,-,-,-,-,"25,300","25,300","25,300","25,300",,,,,
방수시험(도막방수용보강포),,조,1,-,-,-,-,"25,300","25,300","25,300","25,300",,,,,
방수시험(도막방수용보강포),,조,1,-,-,-,-,"25,300","25,300","25,300","25,300",,,,,
방수시험(도막방수용보강포),,조,1,-,-,-,-,"25,300","25,300","25,300","25,300",,,,,
목공사용 접착제,,조,1,-,-,-,-,"1,916,200","1,916,200","1,916,200","1,916,200",,,,,
"온돌마루재(휘발성, 포름)",,조,1,-,-,-,-,"1,916,200","1,916,200","1,916,200","1,916,200",,,,,
"온돌마루재용 접착재(휘발성, 포름)",,조,1,-,-,-,-,"1,956,900","1,956,900","1,956,900","1,956,900",,,,,
지붕재시험(아스팔트슁글시험),,조,1,-,-,-,-,"448,800","448,800","448,800","448,800",,,,,
폴리카보네이트시트,,조,1,-,-,-,-,"98,560","98,560","98,560","98,560",,,,,
지붕재시험(금속기와),,조,1,-,-,-,-,"1,469,600","1,469,600","1,469,600","1,469,600",,,,,
타일시험(마찰저항계수),,조,1,-,-,-,-,"33,000","33,000","33,000","33,000",,,,,
타일시험(접착제시험),,조,1,-,-,-,-,"2,886,400","2,886,400","2,886,400","2,886,400",,,,,
석재시험(화강석판재),,조,1,-,-,-,-,"68,200","68,200","68,200","68,200",,,,,
"도장재시험(합성수지에멀젼페인트,휘발성,포름포함)",,조,1,-,-,-,-,"2,158,200","2,158,200","2,158,200","2,158,200",,,,,
도장재시험(폴리우레탄페인트),,조,1,-,-,-,-,"122,100","122,100","122,100","122,100",,,,,
도장재시험(폴리우레탄서페이스),,조,1,-,-,-,-,"95,700","95,700","95,700","95,700",,,,,
도장재시험(폴리우레탄페인트희석제),,조,1,-,-,-,-,"29,700","29,700","29,700","29,700",,,,,
도장재시험(굽도리몰탈면페인트),,조,1,-,-,-,-,"99,000","99,000","99,000","99,000",,,,,
도장재시험(굽도리몰탈면페인트희석제),,조,1,-,-,-,-,"114,400","114,400","114,400","114,400",,,,,
도장재시험(낙서방지용페인트),,조,1,-,-,-,-,"145,200","145,200","145,200","145,200",,,,,
도장재시험(다채무늬도료 코팅재(중도)),,조,1,-,-,-,-,"36,300","36,300","36,300","36,300",,,,,
도장재시험(다채무늬도료 투명재(상도)),,조,1,-,-,-,-,"58,300","58,300","58,300","58,300",,,,,
K-TOP 공법,,조,1,-,-,-,-,"291,500","291,500","291,500","291,500",,,,,
도장재시험(에칭프라이머용 희석제),,조,1,-,-,-,-,"29,700","29,700","29,700","29,700",,,,,
도장재시험(에폭시에스텔페인트(하도)),,조,1,-,-,-,-,"165,000","165,000","165,000","165,000",,,,,
도장재시험(에폭시에스텔페인트(하도)),,조,1,-,-,-,-,"165,000","165,000","165,000","165,000",,,,,
도장재시험(폭시에스텔페인트(희석제)),,조,1,-,-,-,-,"24,200","24,200","24,200","24,200",,,,,
도장재시험(결로보완페인트),,조,1,-,-,-,-,"2,073,500","2,073,500","2,073,500","2,073,500",,,,,
"도장재시험(결로보완페인트,건조막두께측정)",,조,9,-,-,-,-,12,108,12,108,,,,,
도장재시험(에폭시 바닥마감재(하도)),,조,1,-,-,-,-,"89,100","89,100","89,100","89,100",,,,,
"도장재시험(에폭시 바닥마감재(중,상도))",,조,1,-,-,-,-,"354,200","354,200","354,200","354,200",,,,,
"도장재시험(탄성퍼티, 인장강도,신장률)",,조,1,-,-,-,-,"36,300","36,300","36,300","36,300",,,,,
압출성형 세라믹문틀도장재(하도용),,조,1,-,-,-,-,"113,300","113,300","113,300","113,300",,,,,
"석고보드시험(난연성1급, 휘발성, 포름포함)",,조,1,-,-,-,-,"1,837,000","1,837,000","1,837,000","1,837,000",,,,,
마그네슘보드시험,,조,1,-,-,-,-,"45,100","45,100","45,100","45,100",,,,,
단열재지지핀,,조,1,-,-,-,-,"19,800","19,800","19,800","19,800",,,,,
접착제시험(단열재지지핀 고정용본드),,조,1,-,-,-,-,"74,800","74,800","74,800","74,800",,,,,
단열재시험(판상단열재용 보수재),,조,1,-,-,-,-,"29,700","29,700","29,700","29,700",,,,,
단열재시험(충전용발포우레탄폼),,조,1,-,-,-,-,"67,100","67,100","67,100","67,100",,,,,
단열재시험(열전도율시험),,조,1,-,-,-,-,"29,700","29,700","29,700","29,700",,,,,
바닥재시험(륨카펫트시험(접착제포함)),,조,1,-,-,-,-,"185,900","185,900","185,900","185,900",,,,,
룸카페 접착제,,조,1,-,-,-,-,"1,938,200","1,938,200","1,938,200","1,938,200",,,,,
바닥재시험(천연륨카펫트),,조,1,-,-,-,-,"1,837,000","1,837,000","1,837,000","1,837,000",,,,,
도배지시험(한지벽지),,조,1,-,-,-,-,"1,843,600","1,843,600","1,843,600","1,843,600",,,,,
도배지시험(도배지용풀),,조,1,-,-,-,-,"1,936,000","1,936,000","1,936,000","1,936,000",,,,,
바닥완충재시험,,조,1,-,-,-,-,"1,834,800","1,834,800","1,834,800","1,834,800",,,,,
측면완충재시험,,조,1,-,-,-,-,"927,300","927,300","927,300","927,300",,,,,
드레인시험,,조,1,-,-,-,-,"28,600","28,600","28,600","28,600",,,,,
레미방수몰탈시험,,조,1,"121,110","121,110",-,-,-,-,"121,110","121,110",,,,,
[ 합           계 ],,,,,"121,110",,-,,"48,607,449",,"48,728,559",,,,,
010201  가  설  공  사,,,,,,,,,,,,,,,,
방풍막설치,PE필름,M2,"29,869","2,750","82,139,750","1,100","32,855,900",-,-,"3,850","114,995,650",,,,,
수평규준틀,,M,556,"1,100","611,600","1,650","917,400",-,-,"2,750","1,529,000",,,,,
건축물 현장정리,,M2,"174,999",-,-,"2,200","384,997,800",-,-,"2,200","384,997,800",,,,,
먹메김 (주택용),,M2,"174,999",-,-,"3,300","577,496,700",-,-,"3,300","577,496,700",,,,,
준공청소비,,M2,"174,999",205,"35,874,795","1,641","287,173,359",205,"35,874,795","2,051","358,922,949",,,,,
인화겸용리프트 (25층),,시간,"1,879",-,-,-,-,"9,368","17,602,472","9,368","17,602,472",,,,,
인화겸용리프트 (28층),,시간,"4,088",-,-,-,-,"9,368","38,296,384","9,368","38,296,384",,,,,
인화겸용리프트 (17층),,시간,,-,-,-,-,"9,368",-,"9,368",-,,,,,
인화겸용리프트 (22층),,시간,,-,-,-,-,"9,368",-,"9,368",-,,,,,
인화겸용리프트 (23층),,시간,"3,496",-,-,-,-,"9,368","32,750,528","9,368","32,750,528",,,,,
인화겸용리프트 (24층),,시간,"1,814",-,-,-,-,"9,368","16,993,552","9,368","16,993,552",,,,,
인화겸용리프트 (26층),,시간,"1,945",-,-,-,-,"9,368","18,220,760","9,368","18,220,760",,,,,
인화겸용리프트 (27층),,시간,"8,044",-,-,-,-,"9,368","75,356,192","9,368","75,356,192",,,,,
인화겸용리프트 (29층),,시간,"34,279",-,-,-,-,"9,368","321,125,672","9,368","321,125,672",,,,,
"인화겸용리프트 설치,해체",,M,"2,283","3,506","8,004,198","116,884","266,846,172",-,-,"120,390","274,850,370",,,,,
인화겸용리프트 기초설치,4000*3500*300,개소,27,"60,000","1,620,000","160,000","4,320,000",-,-,"220,000","5,940,000",,,,,
"인화겸용리프트 운반비 (편도,15층초과)",,대,27,"2,370,572","64,005,444",-,-,-,-,"2,370,572","64,005,444",,,,,
인화겸용리프트 (25층),,시간,,-,-,-,-,"9,368",-,"9,368",-,,,,,
인화겸용리프트 (28층),,시간,,-,-,-,-,"9,368",-,"9,368",-,,,,,
인화겸용리프트 (23층),,시간,,-,-,-,-,"9,368",-,"9,368",-,,,,,
인화겸용리프트 (24층),,시간,,-,-,-,-,"9,368",-,"9,368",-,,,,,
인화겸용리프트 (26층),,시간,,-,-,-,-,"9,368",-,"9,368",-,,,,,
인화겸용리프트 (27층),,시간,,-,-,-,-,"9,368",-,"9,368",-,,,,,
"가설 DUST CHUTE (PE관, 초고층)",,M,,"22,000",-,"11,000",-,-,-,"33,000",-,,,,,
이동식 강관조립 말비계,H=2M 1단 3개월,대,24,"22,000","528,000","22,000","528,000",-,-,"44,000","1,056,000",,,,,
동별공사용수설치비 (25층),,개소,,"974,579",-,"801,846",-,"15,904",-,"1,792,329",-,,,,,
동별공사용수설치비 (28층),,개소,,"974,579",-,"801,846",-,"15,904",-,"1,792,329",-,,,,,
동별공사용수설치비 (17층),,개소,,"974,579",-,"801,846",-,"15,904",-,"1,792,329",-,,,,,
동별공사용수설치비 (24층),,개소,,"974,579",-,"801,846",-,"15,904",-,"1,792,329",-,,,,,
동별공사용수설치비 (27층),,개소,,"974,579",-,"801,846",-,"15,904",-,"1,792,329",-,,,,,
동별공사용수설치비 (29층),,개소,12,"974,579","11,694,948","801,846","9,622,152","15,904","190,848","1,792,329","21,507,948",,,,,
옥내가설전기(입상) (25층),,식,,"981,846",-,"725,619",-,"11,395",-,"1,718,860",-,,,,,
옥내가설전기(입상) (28층),,식,,"981,846",-,"725,619",-,"11,395",-,"1,718,860",-,,,,,
옥내가설전기(입상) (17층),,식,,"981,846",-,"725,619",-,"11,395",-,"1,718,860",-,,,,,
옥내가설전기(입상) (24층),,식,,"981,846",-,"725,619",-,"11,395",-,"1,718,860",-,,,,,
옥내가설전기(입상) (27층),,식,,"981,846",-,"725,619",-,"11,395",-,"1,718,860",-,,,,,
옥내가설전기(입상) (29층),,식,12,"981,846","11,782,152","725,619","8,707,428","11,395","136,740","1,718,860","20,626,320",,,,,
강관비계매기(브라켓) (3개월),,M2,"38,238","6,600","252,370,800","7,700","294,432,600",-,-,"14,300","546,803,400",,,,,
이동식 강관조립 말비계,H=2M 1단 3개월,대,,"22,000",-,"22,000",-,-,-,"44,000",-,,,,,
강관비계매기(브라켓) (3개월),,M2,,"6,600",-,"7,700",-,-,-,"14,300",-,,,,,
벽용브라켓(쌍줄용),3개월  15.5KG (L/1.65<올림>),개,230,"5,500","1,265,000","5,500","1,265,000",-,-,"11,000","2,530,000",,,,,
"비계용 브라켓설치(벽용, 브라켓별도)",,개소,230,"5,500","1,265,000","5,500","1,265,000",-,-,"11,000","2,530,000",,,,,
"틀비계설치 (피로티, 합판깔기포함)",,M2,"1,411","3,300","4,656,300","3,300","4,656,300",-,-,"6,600","9,312,600",,,,,
강관동바리 손료,"H=3.5M이하, 벽식 1개월",M2,"1,647","1,100","1,811,700","1,650","2,717,550",-,-,"2,750","4,529,250",,,,,
강관동바리 손료,"H=3.8-4.2M이하, 수평1단, 일반1개월",M2,264,"1,100","290,400","1,650","435,600",-,-,"2,750","726,000",,,,,
조립식강관동바리(시스템동바리),H=4.2~10M 1개월,M3,"23,585","2,750","64,858,750","2,750","64,858,750",-,-,"5,500","129,717,500",,,,,
강관동바리 손료,"H=3.6M이상~ 3.8M이하, 일반 1개월",M2,"1,405","2,750","3,863,750","2,750","3,863,750",-,-,"5,500","7,727,500",,,,,
건축물보양 - 콘크리트,살수,M2,"246,824",-,-,550,"135,753,200",-,-,550,"135,753,200",,,,,
"건축물보양 - 석재,타일",하드롱지,M2,"53,724",731,"39,272,244",522,"28,043,928",-,-,"1,253","67,316,172",,,,,
건축물보양 - 기타부분,목재,M2,"2,561",731,"1,872,091",313,"801,593",-,-,"1,044","2,673,684",,,,,
사업공기단축,동절기 보양비,식,,-,-,-,-,"983,935,320",-,"983,935,320",-,,,,,
사업공기단축,관리인원 추가 인건비,식,,-,-,"311,201,600",-,-,-,"311,201,600",-,,,,,
유지관리기간 증가,유지관리기간 인건비,식,1,-,-,-,-,"285,000,000","285,000,000","285,000,000","285,000,000",,,,,
[ 합           계 ],,,,,"587,786,921",,"2,111,558,182",,"841,547,944",,"3,540,893,047",,,,,
010202  토 및 지정공사,,,,,,,,,,,,,,,,
콘크리트파일(서울)/선단확장형,"콘크리트파일, SPHC A형, Φ550/450*8000mm",본,,"310,992",-,-,-,-,-,"310,992",-,,,,,
콘크리트파일(서울)/선단확장형,"콘크리트파일, SPHC A형, Φ550/450*9000mm",본,,"613,206",-,-,-,-,-,"613,206",-,,,,,
콘크리트파일(서울)/선단확장형,"콘크리트파일, SPHC A형, Φ550/450*10000mm",본,,"365,940",-,-,-,-,-,"365,940",-,,,,,
콘크리트파일(서울)/선단확장형,"콘크리트파일, SPHC A형, Φ550/450*11000mm",본,,"393,414",-,-,-,-,-,"393,414",-,,,,,
콘크리트파일(서울)/선단확장형,"콘크리트파일, SPHC A형, Φ550/450*12000mm",본,,"420,888",-,-,-,-,-,"420,888",-,,,,,
콘크리트파일(서울)/선단확장형,"콘크리트파일, SPHC A형, Φ550/450*13000mm",본,,"448,362",-,-,-,-,-,"448,362",-,,,,,
콘크리트파일(서울)/선단확장형,"콘크리트파일, SPHC A형, Φ550/450*14000mm",본,,"475,836",-,-,-,-,-,"475,836",-,,,,,
콘크리트파일(서울)/선단확장형,"콘크리트파일, SPHC A형, Φ550/450*15000mm",본,,"503,310",-,-,-,-,-,"503,310",-,,,,,
콘크리트파일(서울),"콘크리트파일, PHC A형, Φ600*6000mm",본,,"320,760",-,-,-,-,-,"320,760",-,,,,,
콘크리트파일(서울),"콘크리트파일, PHC A형, Φ600*7000mm",본,,"374,355",-,-,-,-,-,"374,355",-,,,,,
콘크리트파일(서울),"콘크리트파일, PHC A형, Φ600*8000mm",본,"2,536","427,815","1,084,938,840",-,-,-,-,"427,815","1,084,938,840",,,,,
콘크리트파일(서울),"콘크리트파일, PHC A형, Φ600*9000mm",본,766,"481,275","368,656,650",-,-,-,-,"481,275","368,656,650",,,,,
콘크리트파일(서울),"콘크리트파일, PHC A형, Φ600*10000mm",본,231,"534,735","123,523,785",-,-,-,-,"534,735","123,523,785",,,,,
콘크리트파일(서울),"콘크리트파일, PHC A형, Φ600*11000mm",본,,"588,195",-,-,-,-,-,"588,195",-,,,,,
콘크리트파일(서울),"콘크리트파일, PHC A형, Φ600*12000mm",본,,"641,655",-,-,-,-,-,"641,655",-,,,,,
콘크리트파일(서울),"콘크리트파일, PHC A형, Φ600*13000mm",본,,"695,115",-,-,-,-,-,"695,115",-,,,,,
콘크리트파일(서울),"콘크리트파일, PHC A형, Φ600*14000mm",본,233,"748,710","174,449,430",-,-,-,-,"748,710","174,449,430",,,,,
콘크리트파일(서울),"콘크리트파일, PHC A형, Φ600*15000mm",본,214,"802,170","171,664,380",-,-,-,-,"802,170","171,664,380",,,,,
파일이음밴드(기계식),"파일이음밴드, PHC용, Φ600mm",개,,"101,250",-,-,-,-,-,"101,250",-,,,,,
파일(터미널)캡,Ø450 PVC,개,,486,-,162,-,432,-,"1,080",-,,,,,
파일(터미널)캡,Ø600 PVC,개,"2,329","1,896","4,415,784","1,532","3,568,028","1,836","4,276,044","5,264","12,259,856",,,,,
시멘트,,TON,"1,582","85,200","134,821,843",-,-,-,-,"85,200","134,821,843",,,,,
고로시멘트,,TON,,"79,200",-,-,-,-,-,"79,200",-,,,,,
잔토처리,,M3,"13,834","1,045","14,456,530","1,254","17,347,836","1,881","26,021,754","4,180","57,826,120",,,,,
파일항타(SIP+케이싱),Φ550*8000mm,본,,"52,876",-,"17,625",-,"47,001",-,"117,502",-,,,,,
파일항타(SIP+케이싱),Φ550*9000mm,본,,"122,277",-,"40,759",-,"108,691",-,"271,727",-,,,,,
파일항타(SIP+케이싱),Φ550*10000mm,본,,"66,096",-,"22,032",-,"58,752",-,"146,880",-,,,,,
파일항타(SIP+케이싱),Φ550*11000mm,본,,"72,705",-,"24,235",-,"64,627",-,"161,567",-,,,,,
파일항타(SIP+케이싱),Φ550*12000mm,본,,"79,315",-,"26,438",-,"70,502",-,"176,255",-,,,,,
파일항타(SIP+케이싱),Φ550*13000mm,본,,"85,924",-,"28,641",-,"76,377",-,"190,942",-,,,,,
파일항타(SIP+케이싱),Φ550*14000mm,본,,"92,534",-,"30,844",-,"82,252",-,"205,630",-,,,,,
파일항타(SIP+케이싱),Φ550*15000mm,본,,"99,144",-,"33,048",-,"88,128",-,"220,320",-,,,,,
파일항타(SIP+케이싱),Φ600*9000mm,본,,"74,358",-,"27,884",-,"83,652",-,"185,894",-,,,,,
파일항타(SIP+케이싱),Φ600*10000mm,본,231,"82,620","19,085,220","30,982","7,156,842","92,947","21,470,757","206,549","47,712,819",,,,,
파일항타(SIP+케이싱),Φ600*11000mm,본,,"90,882",-,"34,080",-,"102,242",-,"227,204",-,,,,,
파일항타(SIP+케이싱),Φ600*12000mm,본,,"99,144",-,"37,179",-,"111,537",-,"247,860",-,,,,,
파일항타(SIP+케이싱),Φ600*13000mm,본,,"107,406",-,"40,277",-,"120,831",-,"268,514",-,,,,,
파일항타(SIP+케이싱),Φ600*14000mm,본,233,"115,668","26,950,644","43,375","10,106,375","130,126","30,319,358","289,169","67,376,377",,,,,
